Tag,Genotype,Nutrients,Disease,Available
205,FM9,NH4,Pathogen,Experiment
220,FM9,NH4,Placebo,Experiment
226,FM9,NH4,Placebo,Experiment
231,FM6,NH4,Placebo,Experiment
247,FM6,NH4,Pathogen,Experiment
253,FM6,NH4,Pathogen,Experiment
262,FM14,NH4,Placebo,Experiment
289,FM14,NH4,Pathogen,Experiment
291,FM14,NH4,Pathogen,Experiment
A001,Kelsey-1,NH4,Pathogen,Experiment
A007,Kelsey-1,NH4,Placebo,Experiment
A009,Kelsey-1,NH4,Placebo,Experiment
A019,Cooper-9,NH4,Placebo,Experiment
A022,Cooper-9,NH4,Pathogen,Experiment
A024,Cooper-9,NH4,Pathogen,Experiment
A048,Acerv2,NH4,Placebo,Experiment
A051,Acerv2,NH4,Placebo,Experiment
A061,Acerv2,NH4,Pathogen,Experiment
A067,U44,NH4,Pathogen,Experiment
A075,Elkhorn,NH4,Placebo,Experiment
A077,Elkhorn,NH4,Placebo,Experiment
A084,Elkhorn,NH4,Pathogen,Experiment
A105,U44,NH4,Placebo,Experiment
A116,U41,NH4,Pathogen,Experiment
A127,U44,NH4,Placebo,Experiment
A152,K2,NH4,Pathogen,Experiment
A158,K2,NH4,Pathogen,Experiment
A159,K2,NH4,Placebo,Experiment
A184,FM19,NH4,Pathogen,Experiment
A192,FM19,NH4,Placebo,Experiment
A196,FM19,NH4,Placebo,Experiment
211,FM9,NH4,Placebo,Experiment
214,FM9,NH4,Placebo,Experiment
222,FM9,NH4,Pathogen,Experiment
237,FM6,NH4,Pathogen,Experiment
238,FM6,NH4,Pathogen,Experiment
239,FM6,NH4,Placebo,Experiment
270,FM14,NH4,Pathogen,Experiment
282,FM14,NH4,Placebo,Experiment
296,FM14,NH4,Pathogen,Experiment
A010,Kelsey-1,NH4,Placebo,Experiment
A026,Cooper-9,NH4,Placebo,Experiment
A029,Cooper-9,NH4,Pathogen,Experiment
A038,Cooper-9,NH4,Pathogen,Experiment
A041,Acerv2,NH4,Pathogen,Experiment
A052,Acerv2,NH4,Placebo,Experiment
A060,Acerv2,NH4,Placebo,Experiment
A072,Elkhorn,NH4,Placebo,Experiment
A078,Elkhorn,NH4,Pathogen,Experiment
A083,Elkhorn,NH4,Placebo,Experiment
A097,Kelsey-1,NH4,Pathogen,Experiment
A101,Kelsey-1,NH4,Placebo,Experiment
A111,U44,NH4,Pathogen,Experiment
A114,U41,NH4,Pathogen,Experiment
A131,U44,NH4,Placebo,Experiment
A134,U44,NH4,Placebo,Experiment
A157,K2,NH4,Pathogen,Experiment
A161,K2,NH4,Pathogen,Experiment
A165,K2,NH4,Placebo,Experiment
A183,FM19,NH4,Pathogen,Experiment
A185,FM19,NH4,Placebo,Experiment
A188,FM19,NH4,Placebo,Experiment
201,FM9,NH4,Pathogen,Experiment
202,FM9,NH4,Pathogen,Experiment
215,FM9,NH4,Placebo,Experiment
232,FM6,NH4,Pathogen,Experiment
254,FM6,NH4,Placebo,Experiment
258,FM6,NH4,Placebo,Experiment
265,FM14,NH4,Pathogen,Experiment
269,FM14,NH4,Placebo,Experiment
293,FM14,NH4,Placebo,Experiment
A011,U44,NH4,Pathogen,Experiment
A014,Kelsey-1,NH4,Placebo,Experiment
A018,Cooper-9,NH4,Placebo,Experiment
A021,Cooper-9,NH4,Pathogen,Experiment
A036,Cooper-9,NH4,Placebo,Experiment
A039,Acerv2,NH4,Pathogen,Experiment
A056,Acerv2,NH4,Placebo,Experiment
A058,Acerv2,NH4,Pathogen,Experiment
A064,Elkhorn,NH4,Pathogen,Experiment
A074,Elkhorn,Dead,Dead,Dead
A081,Elkhorn,NH4,Placebo,Dead
A094,Kelsey-1,NH4,Pathogen,Experiment
A100,Kelsey-1,NH4,Pathogen,Experiment
A106,U44,NH4,Placebo,Experiment
A119,U41,NH4,Pathogen,Experiment
A125,U41,NH4,Pathogen,Experiment
A130,U44,NH4,Pathogen,Experiment
A151,K2,NH4,Placebo,Experiment
A162,K2,NH4,Placebo,Experiment
A167,K2,NH4,Pathogen,Experiment
A175,FM19,NH4,Pathogen,Experiment
A190,FM19,NH4,Placebo,Experiment
A195,FM19,NH4,Pathogen,Experiment
204,FM9,NH4,Placebo,Experiment
216,FM9,NH4,Pathogen,Experiment
235,FM6,NH4,Pathogen,Experiment
261,FM6,NH4,Placebo,Experiment
266,FM6,NH4,Placebo,Experiment
272,FM14,NH4,Placebo,Experiment
284,FM14,NH4,Placebo,Experiment
285,FM14,NH4,Pathogen,Experiment
A002,Kelsey-1,NH4,Pathogen,Experiment
A008,Kelsey-1,NH4,Placebo,Experiment
A027,Cooper-9,NH4,Pathogen,Experiment
A034,Cooper-9,NH4,Placebo,Experiment
A037,Cooper-9,NH4,Placebo,Experiment
A040,Acerv2,NH4,Pathogen,Experiment
A045,Acerv2,NH4,Placebo,Experiment
A046,Acerv2,NH4,Pathogen,Experiment
A068,Elkhorn,NH4,Placebo,Experiment
A071,U44,NH4,Placebo,Experiment
A076,Elkhorn,NH4,Pathogen,Experiment
A089,Elkhorn,NH4,Pathogen,Experiment
A102,U44,NH4,Pathogen,Experiment
A107,U41,NH4,Pathogen,Experiment
A118,U41,NH4,Pathogen,Experiment
A129,U44,NH4,Pathogen,Experiment
A155,K2,NH4,Placebo,Experiment
A163,K2,NH4,Pathogen,Experiment
A172,K2,NH4,Placebo,Experiment
A176,FM19,NH4,Pathogen,Experiment
A179,FM19,NH4,Pathogen,Experiment
A198,FM19,NH4,Placebo,Experiment
A199,FM9,NH4,Pathogen,Experiment
227,FM9,Ambient,Placebo,Experiment
228,FM9,Ambient,Pathogen,Experiment
250,FM6,Ambient,Placebo,Experiment
252,FM6,Ambient,Placebo,Experiment
256,FM6,Ambient,Pathogen,Experiment
264,FM14,Ambient,Pathogen,Experiment
268,FM14,Ambient,Placebo,Experiment
276,FM14,Ambient,Placebo,Experiment
A004,Kelsey-1,Ambient,Pathogen,Experiment
A015,Kelsey-1,Ambient,Placebo,Experiment
A017,Cooper-9,Ambient,Placebo,Experiment
A028,Cooper-9,Ambient,Placebo,Experiment
A049,Acerv2,Ambient,Pathogen,Experiment
A057,Acerv2,Ambient,Pathogen,Experiment
A062,Acerv2,Ambient,Placebo,Experiment
A066,Elkhorn,Ambient,Placebo,Experiment
A086,Elkhorn,Ambient,Pathogen,Experiment
A087,Elkhorn,Ambient,Pathogen,Experiment
A091,U44,Ambient,Placebo,Experiment
A095,Kelsey-1,Ambient,Pathogen,Experiment
A109,U44,Ambient,Placebo,Experiment
A115,U41,Ambient,Pathogen,Experiment
A121,U44,Ambient,Pathogen,Experiment
A154,K2,Ambient,Placebo,Experiment
A160,K2,Ambient,Placebo,Experiment
A166,K2,Ambient,Pathogen,Experiment
A180,FM19,Ambient,Pathogen,Experiment
A181,FM19,Ambient,Pathogen,Dead
A189,FM19,Ambient,Placebo,Experiment
A200,FM9,Ambient,Pathogen,Experiment
217,FM9,Ambient,Pathogen,Experiment
221,FM9,Ambient,Placebo,Experiment
224,FM9,Ambient,Pathogen,Experiment
241,FM6,Ambient,Pathogen,Experiment
244,FM6,Ambient,Placebo,Experiment
251,FM6,Ambient,Placebo,Experiment
274,FM14,Ambient,Pathogen,Experiment
277,FM14,Ambient,Placebo,Experiment
288,FM14,Ambient,Placebo,Experiment
A003,Kelsey-1,Ambient,Pathogen,Experiment
A016,Cooper-9,Ambient,Pathogen,Experiment
A020,Cooper-9,Ambient,Placebo,Experiment
A032,Cooper-9,Ambient,Pathogen,Experiment
A044,Acerv2,Ambient,Pathogen,Experiment
A050,Acerv2,Ambient,Placebo,Experiment
A059,Acerv2,Ambient,Pathogen,Experiment
A063,Elkhorn,Ambient,Pathogen,Experiment
A082,Elkhorn,Ambient,Pathogen,Experiment
A090,Elkhorn,Ambient,Placebo,Experiment
A096,Kelsey-1,Ambient,Placebo,Experiment
A098,Kelsey-1,Ambient,Pathogen,Experiment
A112,U41,Ambient,Pathogen,Experiment
A122,U44,Ambient,Placebo,Experiment
A123,U41,Ambient,Pathogen,Experiment
A128,U44,Ambient,Placebo,Experiment
A132,U44,Ambient,Pathogen,Experiment
A173,K2,Ambient,Placebo,Experiment
A174,K2,Ambient,Pathogen,Experiment
A177,FM19,Ambient,Pathogen,Experiment
A178,FM19,Ambient,Placebo,Experiment
A194,FM19,Ambient,Pathogen,Experiment
208,FM9,Ambient,Placebo,Experiment
218,FM9,Ambient,Placebo,Experiment
229,FM9,Ambient,Pathogen,Experiment
230,FM6,Ambient,Pathogen,Experiment
243,FM6,Ambient,Pathogen,Experiment
245,FM6,Ambient,Placebo,Experiment
279,FM14,Ambient,Placebo,Experiment
281,FM14,Ambient,Pathogen,Experiment
283,FM14,Ambient,Pathogen,Experiment
A005,Kelsey-1,Ambient,Pathogen,Experiment
A012,Kelsey-1,Ambient,Placebo,Experiment
A030,Cooper-9,Ambient,Pathogen,Experiment
A031,Cooper-9,Ambient,Pathogen,Experiment
A033,Cooper-9,Ambient,Placebo,Experiment
A047,Acerv2,Ambient,Placebo,Experiment
A053,Acerv2,Ambient,Pathogen,Experiment
A055,Acerv2,Ambient,Placebo,Experiment
A069,Elkhorn,Ambient,Placebo,Experiment
A073,Elkhorn,Ambient,Pathogen,Experiment
A088,Elkhorn,Ambient,Placebo,Experiment
A103,Kelsey-1,Ambient,Placebo,Experiment
A104,U44,Ambient,Pathogen,Experiment
A110,U41,Ambient,Pathogen,Experiment
A113,U44,Ambient,Pathogen,Experiment
A120,U44,Ambient,Placebo,Experiment
A164,K2,Ambient,Pathogen,Experiment
A169,K2,Ambient,Placebo,Experiment
A170,K2,Ambient,Pathogen,Experiment
A182,FM19,Ambient,Pathogen,Experiment
A186,FM19,Ambient,Placebo,Experiment
A191,FM19,Ambient,Placebo,Experiment
207,FM9,Ambient,Placebo,Experiment
209,FM9,Ambient,Placebo,Experiment
225,FM9,Ambient,Pathogen,Experiment
234,FM6,Ambient,Pathogen,Experiment
242,FM6,Ambient,Pathogen,Experiment
260,FM6,Ambient,Placebo,Experiment
263,FM14,Ambient,Placebo,Experiment
273,FM14,Ambient,Pathogen,Experiment
275,FM14,Ambient,Pathogen,Experiment
A006,U44,Ambient,Placebo,Experiment
A013,Kelsey-1,Ambient,Placebo,Experiment
A023,Cooper-9,Ambient,Pathogen,Experiment
A025,Cooper-9,Ambient,Pathogen,Experiment
A035,Cooper-9,Ambient,Placebo,Experiment
A042,Acerv2,Ambient,Pathogen,Experiment
A043,Acerv2,Ambient,Placebo,Experiment
A054,Acerv2,Ambient,Pathogen,Dead
A065,Elkhorn,Ambient,Placebo,Experiment
A079,Elkhorn,Ambient,Placebo,Experiment
A080,Elkhorn,Ambient,Pathogen,Experiment
A085,U44,Ambient,Pathogen,Experiment
A093,Kelsey-1,Ambient,Pathogen,Experiment
A099,Kelsey-1,Ambient,Placebo,Experiment
A124,U41,Ambient,Pathogen,Experiment
A133,U44,Ambient,Pathogen,Experiment
A156,K2,Ambient,Pathogen,Experiment
A168,K2,Ambient,Pathogen,Experiment
A171,K2,Ambient,Placebo,Experiment
A187,FM19,Ambient,Pathogen,Experiment
A193,FM19,Ambient,Placebo,Experiment
A197,FM19,Ambient,Placebo,Experiment
257,FM6,Extra,Extra,Extra?
A070,Elkhorn,NH4,Placebo,Experiment
A141,U44,Extra,Extra,Extra?
A148,U44,Extra,Extra,Extra?
A092,Elkhorn,NH4,Pathogen,Experiment
A153,Kelsey-1,NH4,Pathogen,Experiment
A136,Kelsey-1,Extra,Extra,Extra?
A142,Elkhorn,Extra,Extra,Extra?
A145,Elkhorn,Ambient,Pathogen,Experiment
306,Kelsey-1,Extra,Extra,Extra?
410,K2,Experiment,Ambient,Placebo
NEW,FM19,Ambient,Pathogen,Experiment
NEW,Acerv2,Ambient,Pathogen,
