"Time","Date","Genotype","Fragment","Tank","A_Tank","Nutrients","Disease","YII","Sample"
0,"2020-08-12","FM19","A175",1,"3","NH4","Pathogen",0.684,"2020-08-12_A175"
0,"2020-08-12","FM19","A176",1,"4","NH4","Pathogen",0.705,"2020-08-12_A176"
0,"2020-08-12","FM19","A177",1,"6","Ambient","Pathogen",0.704,"2020-08-12_A177"
0,"2020-08-12","FM19","A178",1,"6","Ambient","Placebo",0.689,"2020-08-12_A178"
0,"2020-08-12","FM19","A179",1,"4","NH4","Pathogen",0.687,"2020-08-12_A179"
0,"2020-08-12","FM19","A180",1,"5","Ambient","Pathogen",0.695,"2020-08-12_A180"
0,"2020-08-12","FM19","A181",1,"5","Ambient","Pathogen",0.696,"2020-08-12_A181"
0,"2020-08-12","FM19","A182",1,"7","Ambient","Pathogen",0.688,"2020-08-12_A182"
0,"2020-08-12","FM19","A183",1,"2","NH4","Pathogen",0.679,"2020-08-12_A183"
0,"2020-08-12","FM19","A184",1,"1","NH4","Pathogen",0.693,"2020-08-12_A184"
0,"2020-08-12","FM19","A185",1,"2","NH4","Placebo",0.688,"2020-08-12_A185"
0,"2020-08-12","FM19","A186",1,"7","Ambient","Placebo",0.695,"2020-08-12_A186"
0,"2020-08-12","FM19","A187",1,"8","Ambient","Pathogen",0.682,"2020-08-12_A187"
0,"2020-08-12","FM19","A188",1,"2","NH4","Placebo",0.677,"2020-08-12_A188"
0,"2020-08-12","FM19","A189",1,"5","Ambient","Placebo",0.678,"2020-08-12_A189"
0,"2020-08-12","FM19","A190",1,"3","NH4","Placebo",0.654,"2020-08-12_A190"
0,"2020-08-12","FM19","A191",1,"7","Ambient","Placebo",0.688,"2020-08-12_A191"
0,"2020-08-12","FM19","A192",1,"1","NH4","Placebo",0.675,"2020-08-12_A192"
0,"2020-08-12","FM19","A193",1,"8","Ambient","Placebo",0.691,"2020-08-12_A193"
0,"2020-08-12","FM19","A194",1,"6","Ambient","Pathogen",0.696,"2020-08-12_A194"
0,"2020-08-12","FM19","A195",1,"3","NH4","Pathogen",0.7,"2020-08-12_A195"
0,"2020-08-12","FM19","A196",1,"1","NH4","Placebo",0.686,"2020-08-12_A196"
0,"2020-08-12","FM19","A197",1,"8","Ambient","Placebo",0.697,"2020-08-12_A197"
0,"2020-08-12","FM19","A198",1,"4","NH4","Placebo",0.697,"2020-08-12_A198"
0,"2020-08-12","FM9","A199",3,"4","NH4","Pathogen",0.69,"2020-08-12_A199"
0,"2020-08-12","FM9","A200",3,"5","Ambient","Pathogen",0.689,"2020-08-12_A200"
0,"2020-08-12","FM9","201",3,"3","NH4","Pathogen",0.689,"2020-08-12_201"
0,"2020-08-12","FM9","202",3,"3","NH4","Pathogen",0.696,"2020-08-12_202"
0,"2020-08-12","FM9","204",3,"4","NH4","Placebo",0.694,"2020-08-12_204"
0,"2020-08-12","FM9","205",3,"1","NH4","Pathogen",0.651,"2020-08-12_205"
0,"2020-08-12","FM9","207",3,"8","Ambient","Placebo",0.698,"2020-08-12_207"
0,"2020-08-12","FM9","208",3,"7","Ambient","Placebo",0.688,"2020-08-12_208"
0,"2020-08-12","FM9","209",3,"8","Ambient","Placebo",0.694,"2020-08-12_209"
0,"2020-08-12","FM9","211",3,"2","NH4","Placebo",0.693,"2020-08-12_211"
0,"2020-08-12","FM9","214",3,"2","NH4","Placebo",0.686,"2020-08-12_214"
0,"2020-08-12","FM9","215",3,"3","NH4","Placebo",0.676,"2020-08-12_215"
0,"2020-08-12","FM9","216",3,"4","NH4","Pathogen",0.692,"2020-08-12_216"
0,"2020-08-12","FM9","217",3,"6","Ambient","Pathogen",0.697,"2020-08-12_217"
0,"2020-08-12","FM9","218",3,"7","Ambient","Placebo",0.696,"2020-08-12_218"
0,"2020-08-12","FM9","220",3,"1","NH4","Placebo",0.697,"2020-08-12_220"
0,"2020-08-12","FM9","221",3,"6","Ambient","Placebo",0.697,"2020-08-12_221"
0,"2020-08-12","FM9","222",3,"2","NH4","Pathogen",0.698,"2020-08-12_222"
0,"2020-08-12","FM9","224",3,"6","Ambient","Pathogen",0.691,"2020-08-12_224"
0,"2020-08-12","FM9","225",3,"8","Ambient","Pathogen",0.685,"2020-08-12_225"
0,"2020-08-12","FM9","226",3,"1","NH4","Placebo",0.691,"2020-08-12_226"
0,"2020-08-12","FM9","227",3,"5","Ambient","Placebo",0.691,"2020-08-12_227"
0,"2020-08-12","FM9","228",3,"5","Ambient","Pathogen",0.693,"2020-08-12_228"
0,"2020-08-12","FM9","229",3,"7","Ambient","Pathogen",0.691,"2020-08-12_229"
0,"2020-08-12","FM6","230",4,"7","Ambient","Pathogen",0.702,"2020-08-12_230"
0,"2020-08-12","FM6","231",4,"1","NH4","Placebo",0.701,"2020-08-12_231"
0,"2020-08-12","FM6","232",4,"3","NH4","Pathogen",0.678,"2020-08-12_232"
0,"2020-08-12","FM6","234",4,"8","Ambient","Pathogen",0.697,"2020-08-12_234"
0,"2020-08-12","FM6","235",4,"4","NH4","Pathogen",0.701,"2020-08-12_235"
0,"2020-08-12","FM6","237",4,"2","NH4","Pathogen",0.695,"2020-08-12_237"
0,"2020-08-12","FM6","238",4,"2","NH4","Pathogen",0.699,"2020-08-12_238"
0,"2020-08-12","FM6","239",4,"2","NH4","Placebo",0.699,"2020-08-12_239"
0,"2020-08-12","FM6","241",4,"6","Ambient","Pathogen",0.706,"2020-08-12_241"
0,"2020-08-12","FM6","242",4,"8","Ambient","Pathogen",0.699,"2020-08-12_242"
0,"2020-08-12","FM6","243",4,"7","Ambient","Pathogen",0.707,"2020-08-12_243"
0,"2020-08-12","FM6","244",4,"6","Ambient","Placebo",0.694,"2020-08-12_244"
0,"2020-08-12","FM6","245",4,"7","Ambient","Placebo",0.691,"2020-08-12_245"
0,"2020-08-12","FM6","247",4,"1","NH4","Pathogen",0.676,"2020-08-12_247"
0,"2020-08-12","FM6","250",4,"5","Ambient","Placebo",0.693,"2020-08-12_250"
0,"2020-08-12","FM6","251",4,"6","Ambient","Placebo",0.681,"2020-08-12_251"
0,"2020-08-12","FM6","252",4,"5","Ambient","Placebo",0.703,"2020-08-12_252"
0,"2020-08-12","FM6","253",4,"1","NH4","Pathogen",0.715,"2020-08-12_253"
0,"2020-08-12","FM6","254",4,"3","NH4","Placebo",0.7,"2020-08-12_254"
0,"2020-08-12","FM6","256",4,"5","Ambient","Pathogen",0.689,"2020-08-12_256"
0,"2020-08-12","FM6","257",4,"Holding","Extra","Extra",0.694,"2020-08-12_257"
0,"2020-08-12","FM6","258",4,"3","NH4","Placebo",0.697,"2020-08-12_258"
0,"2020-08-12","FM6","260",4,"8","Ambient","Placebo",0.685,"2020-08-12_260"
0,"2020-08-12","FM6","261",4,"4","NH4","Placebo",0.688,"2020-08-12_261"
0,"2020-08-12","FM6","266",4,"4","NH4","Placebo",0.699,"2020-08-12_266"
0,"2020-08-12","FM14","262",2,"1","NH4","Placebo",0.704,"2020-08-12_262"
0,"2020-08-12","FM14","263",2,"8","Ambient","Placebo",0.7,"2020-08-12_263"
0,"2020-08-12","FM14","264",2,"5","Ambient","Pathogen",0.704,"2020-08-12_264"
0,"2020-08-12","FM14","265",2,"3","NH4","Pathogen",0.705,"2020-08-12_265"
0,"2020-08-12","FM14","268",2,"5","Ambient","Placebo",0.688,"2020-08-12_268"
0,"2020-08-12","FM14","269",2,"3","NH4","Placebo",0.702,"2020-08-12_269"
0,"2020-08-12","FM14","270",2,"2","NH4","Pathogen",0.701,"2020-08-12_270"
0,"2020-08-12","FM14","272",2,"4","NH4","Placebo",0.695,"2020-08-12_272"
0,"2020-08-12","FM14","273",2,"8","Ambient","Pathogen",0.703,"2020-08-12_273"
0,"2020-08-12","FM14","274",2,"6","Ambient","Pathogen",0.674,"2020-08-12_274"
0,"2020-08-12","FM14","275",2,"8","Ambient","Pathogen",0.697,"2020-08-12_275"
0,"2020-08-12","FM14","276",2,"5","Ambient","Placebo",0.68,"2020-08-12_276"
0,"2020-08-12","FM14","277",2,"6","Ambient","Placebo",0.692,"2020-08-12_277"
0,"2020-08-12","FM14","279",2,"7","Ambient","Placebo",0.685,"2020-08-12_279"
0,"2020-08-12","FM14","281",2,"7","Ambient","Pathogen",0.704,"2020-08-12_281"
0,"2020-08-12","FM14","282",2,"2","NH4","Placebo",0.686,"2020-08-12_282"
0,"2020-08-12","FM14","283",2,"7","Ambient","Pathogen",0.697,"2020-08-12_283"
0,"2020-08-12","FM14","284",2,"4","NH4","Placebo",0.688,"2020-08-12_284"
0,"2020-08-12","FM14","285",2,"4","NH4","Pathogen",0.69,"2020-08-12_285"
0,"2020-08-12","FM14","288",2,"6","Ambient","Placebo",0.691,"2020-08-12_288"
0,"2020-08-12","FM14","289",2,"1","NH4","Pathogen",0.654,"2020-08-12_289"
0,"2020-08-12","FM14","291",2,"1","NH4","Pathogen",0.695,"2020-08-12_291"
0,"2020-08-12","FM14","293",2,"3","NH4","Placebo",0.693,"2020-08-12_293"
0,"2020-08-12","FM14","296",2,"2","NH4","Pathogen",0.709,"2020-08-12_296"
0,"2020-08-12","Cooper-9","A016",6,"6","Ambient","Pathogen",0.702,"2020-08-12_A016"
0,"2020-08-12","Cooper-9","A017",6,"5","Ambient","Placebo",0.703,"2020-08-12_A017"
0,"2020-08-12","Cooper-9","A018",6,"3","NH4","Placebo",0.707,"2020-08-12_A018"
0,"2020-08-12","Cooper-9","A019",6,"1","NH4","Placebo",0.704,"2020-08-12_A019"
0,"2020-08-12","Cooper-9","A020",6,"6","Ambient","Placebo",0.694,"2020-08-12_A020"
0,"2020-08-12","Cooper-9","A021",6,"3","NH4","Pathogen",0.709,"2020-08-12_A021"
0,"2020-08-12","Cooper-9","A022",6,"1","NH4","Pathogen",0.687,"2020-08-12_A022"
0,"2020-08-12","Cooper-9","A023",6,"8","Ambient","Pathogen",0.694,"2020-08-12_A023"
0,"2020-08-12","Cooper-9","A024",6,"1","NH4","Pathogen",0.714,"2020-08-12_A024"
0,"2020-08-12","Cooper-9","A025",6,"8","Ambient","Pathogen",0.707,"2020-08-12_A025"
0,"2020-08-12","Cooper-9","A026",6,"2","NH4","Placebo",0.675,"2020-08-12_A026"
0,"2020-08-12","Cooper-9","A027",6,"4","NH4","Pathogen",0.683,"2020-08-12_A027"
0,"2020-08-12","Cooper-9","A028",6,"5","Ambient","Placebo",0.702,"2020-08-12_A028"
0,"2020-08-12","Cooper-9","A029",6,"2","NH4","Pathogen",0.701,"2020-08-12_A029"
0,"2020-08-12","Cooper-9","A030",6,"7","Ambient","Pathogen",0.689,"2020-08-12_A030"
0,"2020-08-12","Cooper-9","A031",6,"7","Ambient","Pathogen",0.667,"2020-08-12_A031"
0,"2020-08-12","Cooper-9","A032",6,"6","Ambient","Pathogen",0.661,"2020-08-12_A032"
0,"2020-08-12","Cooper-9","A033",6,"7","Ambient","Placebo",0.682,"2020-08-12_A033"
0,"2020-08-12","Cooper-9","A034",6,"4","NH4","Placebo",0.663,"2020-08-12_A034"
0,"2020-08-12","Cooper-9","A035",6,"8","Ambient","Placebo",0.7,"2020-08-12_A035"
0,"2020-08-12","Cooper-9","A036",6,"3","NH4","Placebo",0.691,"2020-08-12_A036"
0,"2020-08-12","Cooper-9","A037",6,"4","NH4","Placebo",0.692,"2020-08-12_A037"
0,"2020-08-12","Cooper-9","A038",6,"2","NH4","Pathogen",0.713,"2020-08-12_A038"
0,"2020-08-12","Elkhorn","A063",7,"6","Ambient","Pathogen",0.672,"2020-08-12_A063"
0,"2020-08-12","Elkhorn","A064",7,"3","NH4","Pathogen",0.684,"2020-08-12_A064"
0,"2020-08-12","Elkhorn","A065",7,"8","Ambient","Placebo",0.668,"2020-08-12_A065"
0,"2020-08-12","Elkhorn","A066",7,"5","Ambient","Placebo",0.697,"2020-08-12_A066"
0,"2020-08-12","Elkhorn","A068",7,"4","NH4","Placebo",0.677,"2020-08-12_A068"
0,"2020-08-12","Elkhorn","A069",7,"7","Ambient","Placebo",0.699,"2020-08-12_A069"
0,"2020-08-12","Elkhorn","A070",7,"Holding","Extra","Extra",0.704,"2020-08-12_A070"
0,"2020-08-12","Elkhorn","A072",7,"2","NH4","Placebo",0.686,"2020-08-12_A072"
0,"2020-08-12","Elkhorn","A073",7,"7","Ambient","Pathogen",0.69,"2020-08-12_A073"
0,"2020-08-12","Elkhorn","A074",7,"3","NH4","Pathogen",0.708,"2020-08-12_A074"
0,"2020-08-12","Elkhorn","A075",7,"1","NH4","Placebo",0.683,"2020-08-12_A075"
0,"2020-08-12","Elkhorn","A076",7,"4","NH4","Pathogen",0.702,"2020-08-12_A076"
0,"2020-08-12","Elkhorn","A077",7,"1","NH4","Placebo",0.706,"2020-08-12_A077"
0,"2020-08-12","Elkhorn","A078",7,"2","NH4","Pathogen",0.697,"2020-08-12_A078"
0,"2020-08-12","Elkhorn","A079",7,"8","Ambient","Placebo",0.695,"2020-08-12_A079"
0,"2020-08-12","Elkhorn","A080",7,"8","Ambient","Pathogen",0.7,"2020-08-12_A080"
0,"2020-08-12","Elkhorn","A081",7,"3","NH4","Placebo",0.7,"2020-08-12_A081"
0,"2020-08-12","Elkhorn","A082",7,"6","Ambient","Pathogen",0.705,"2020-08-12_A082"
0,"2020-08-12","Elkhorn","A083",7,"2","NH4","Placebo",0.697,"2020-08-12_A083"
0,"2020-08-12","Elkhorn","A084",7,"1","NH4","Pathogen",0.697,"2020-08-12_A084"
0,"2020-08-12","Elkhorn","A086",7,"5","Ambient","Pathogen",0.668,"2020-08-12_A086"
0,"2020-08-12","Elkhorn","A087",7,"5","Ambient","Pathogen",0.698,"2020-08-12_A087"
0,"2020-08-12","Elkhorn","A088",7,"7","Ambient","Placebo",0.7,"2020-08-12_A088"
0,"2020-08-12","Elkhorn","A089",7,"4","NH4","Pathogen",0.696,"2020-08-12_A089"
0,"2020-08-12","Elkhorn","A090",7,"6","Ambient","Placebo",0.701,"2020-08-12_A090"
0,"2020-08-12","Elkhorn","A092",7,"Holding","Extra","Extra",0.67,"2020-08-12_A092"
0,"2020-08-12","Acerv2","A039",8,"3","NH4","Pathogen",0.633,"2020-08-12_A039"
0,"2020-08-12","Acerv2","A040",8,"4","NH4","Pathogen",0.693,"2020-08-12_A040"
0,"2020-08-12","Acerv2","A041",8,"2","NH4","Pathogen",0.669,"2020-08-12_A041"
0,"2020-08-12","Acerv2","A042",8,"8","Ambient","Placebo",0.698,"2020-08-12_A042"
0,"2020-08-12","Acerv2","A043",8,"8","Ambient","Placebo",0.677,"2020-08-12_A043"
0,"2020-08-12","Acerv2","A044",8,"6","Ambient","Pathogen",0.614,"2020-08-12_A044"
0,"2020-08-12","Acerv2","A045",8,"4","NH4","Placebo",0.648,"2020-08-12_A045"
0,"2020-08-12","Acerv2","A046",8,"4","NH4","Pathogen",0.658,"2020-08-12_A046"
0,"2020-08-12","Acerv2","A047",8,"7","Ambient","Placebo",0.696,"2020-08-12_A047"
0,"2020-08-12","Acerv2","A048",8,"1","NH4","Placebo",0.706,"2020-08-12_A048"
0,"2020-08-12","Acerv2","A049",8,"5","Ambient","Pathogen",0.67,"2020-08-12_A049"
0,"2020-08-12","Acerv2","A050",8,"6","Ambient","Placebo",0.684,"2020-08-12_A050"
0,"2020-08-12","Acerv2","A051",8,"1","NH4","Placebo",0.668,"2020-08-12_A051"
0,"2020-08-12","Acerv2","A052",8,"2","NH4","Placebo",0.677,"2020-08-12_A052"
0,"2020-08-12","Acerv2","A053",8,"7","Ambient","Pathogen",0.673,"2020-08-12_A053"
0,"2020-08-12","Acerv2","A054",8,"8","Ambient","Pathogen",0.674,"2020-08-12_A054"
0,"2020-08-12","Acerv2","A055",8,"7","Ambient","Placebo",0.702,"2020-08-12_A055"
0,"2020-08-12","Acerv2","A056",8,"3","NH4","Placebo",0.705,"2020-08-12_A056"
0,"2020-08-12","Acerv2","A057",8,"5","Ambient","Pathogen",0.642,"2020-08-12_A057"
0,"2020-08-12","Acerv2","A058",8,"3","NH4","Pathogen",0.667,"2020-08-12_A058"
0,"2020-08-12","Acerv2","A059",8,"6","Ambient","Pathogen",0.703,"2020-08-12_A059"
0,"2020-08-12","Acerv2","A060",8,"2","NH4","Placebo",0.65,"2020-08-12_A060"
0,"2020-08-12","Acerv2","A061",8,"1","NH4","Pathogen",0.707,"2020-08-12_A061"
0,"2020-08-12","Acerv2","A062",8,"5","Ambient","Placebo",0.685,"2020-08-12_A062"
0,"2020-08-12","U41","A107",9,"4","NH4","Pathogen",0.672,"2020-08-12_A107"
0,"2020-08-12","U41","A110",9,"7","Ambient","Pathogen",0.673,"2020-08-12_A110"
0,"2020-08-12","U41","A112",9,"6","Ambient","Pathogen",0.687,"2020-08-12_A112"
0,"2020-08-12","U41","A114",9,"2","NH4","Pathogen",0.689,"2020-08-12_A114"
0,"2020-08-12","U41","A115",9,"5","Ambient","Pathogen",0.648,"2020-08-12_A115"
0,"2020-08-12","U41","A116",9,"1","NH4","Pathogen",0.687,"2020-08-12_A116"
0,"2020-08-12","U41","A118",9,"4","NH4","Pathogen",0.673,"2020-08-12_A118"
0,"2020-08-12","U41","A119",9,"3","NH4","Pathogen",0.663,"2020-08-12_A119"
0,"2020-08-12","U41","A123",9,"6","Ambient","Pathogen",0.668,"2020-08-12_A123"
0,"2020-08-12","U41","A124",9,"8","Ambient","Pathogen",0.651,"2020-08-12_A124"
0,"2020-08-12","U41","A125",9,"3","NH4","Pathogen",0.661,"2020-08-12_A125"
0,"2020-08-12","K2","A151",10,"3","NH4","Placebo",0.688,"2020-08-12_A151"
0,"2020-08-12","K2","A152",10,"1","NH4","Pathogen",0.671,"2020-08-12_A152"
0,"2020-08-12","K2","A154",10,"5","Ambient","Placebo",0.657,"2020-08-12_A154"
0,"2020-08-12","K2","A155",10,"4","NH4","Placebo",0.648,"2020-08-12_A155"
0,"2020-08-12","K2","A156",10,"8","Ambient","Pathogen",0.647,"2020-08-12_A156"
0,"2020-08-12","K2","A157",10,"2","NH4","Pathogen",0.666,"2020-08-12_A157"
0,"2020-08-12","K2","A158",10,"1","NH4","Pathogen",0.691,"2020-08-12_A158"
0,"2020-08-12","K2","A159",10,"1","NH4","Placebo",0.685,"2020-08-12_A159"
0,"2020-08-12","K2","A160",10,"5","Ambient","Placebo",0.705,"2020-08-12_A160"
0,"2020-08-12","K2","A161",10,"2","NH4","Pathogen",0.662,"2020-08-12_A161"
0,"2020-08-12","K2","A162",10,"3","NH4","Placebo",0.704,"2020-08-12_A162"
0,"2020-08-12","K2","A163",10,"4","NH4","Pathogen",0.672,"2020-08-12_A163"
0,"2020-08-12","K2","A164",10,"7","Ambient","Pathogen",0.693,"2020-08-12_A164"
0,"2020-08-12","K2","A165",10,"2","NH4","Placebo",0.661,"2020-08-12_A165"
0,"2020-08-12","K2","A166",10,"5","Ambient","Pathogen",0.672,"2020-08-12_A166"
0,"2020-08-12","K2","A167",10,"3","NH4","Pathogen",0.662,"2020-08-12_A167"
0,"2020-08-12","K2","A168",10,"8","Ambient","Pathogen",0.691,"2020-08-12_A168"
0,"2020-08-12","K2","A169",10,"7","Ambient","Placebo",0.649,"2020-08-12_A169"
0,"2020-08-12","K2","A170",10,"7","Ambient","Pathogen",0.673,"2020-08-12_A170"
0,"2020-08-12","K2","A171",10,"8","Ambient","Placebo",0.639,"2020-08-12_A171"
0,"2020-08-12","K2","A172",10,"4","NH4","Placebo",0.688,"2020-08-12_A172"
0,"2020-08-12","K2","A173",10,"6","Ambient","Placebo",0.661,"2020-08-12_A173"
0,"2020-08-12","K2","A174",10,"6","Ambient","Pathogen",0.68,"2020-08-12_A174"
0,"2020-08-12","U44","A006",11,"8","Ambient","Placebo",0.688,"2020-08-12_A006"
0,"2020-08-12","U44","A011",11,"3","NH4","Pathogen",0.685,"2020-08-12_A011"
0,"2020-08-12","U44","A067",11,"1","NH4","Pathogen",0.691,"2020-08-12_A067"
0,"2020-08-12","U44","A071",11,"4","NH4","Placebo",0.679,"2020-08-12_A071"
0,"2020-08-12","U44","A085",11,"8","Ambient","Pathogen",0.683,"2020-08-12_A085"
0,"2020-08-12","U44","A091",11,"5","Ambient","Placebo",0.684,"2020-08-12_A091"
0,"2020-08-12","U44","A102",11,"4","NH4","Pathogen",0.674,"2020-08-12_A102"
0,"2020-08-12","U44","A104",11,"7","Ambient","Pathogen",0.676,"2020-08-12_A104"
0,"2020-08-12","U44","A105",11,"1","NH4","Placebo",0.676,"2020-08-12_A105"
0,"2020-08-12","U44","A106",11,"3","NH4","Placebo",0.678,"2020-08-12_A106"
0,"2020-08-12","U44","A109",11,"5","Ambient","Placebo",0.681,"2020-08-12_A109"
0,"2020-08-12","U44","A111",11,"2","NH4","Pathogen",0.681,"2020-08-12_A111"
0,"2020-08-12","U44","A113",11,"7","Ambient","Pathogen",0.678,"2020-08-12_A113"
0,"2020-08-12","U44","A120",11,"7","Ambient","Placebo",0.676,"2020-08-12_A120"
0,"2020-08-12","U44","A121",11,"5","Ambient","Pathogen",0.68,"2020-08-12_A121"
0,"2020-08-12","U44","A122",11,"6","Ambient","Placebo",0.663,"2020-08-12_A122"
0,"2020-08-12","U44","A127",11,"1","NH4","Placebo",0.668,"2020-08-12_A127"
0,"2020-08-12","U44","A128",11,"6","Ambient","Placebo",0.681,"2020-08-12_A128"
0,"2020-08-12","U44","A129",11,"4","NH4","Pathogen",0.667,"2020-08-12_A129"
0,"2020-08-12","U44","A130",11,"3","NH4","Pathogen",0.686,"2020-08-12_A130"
0,"2020-08-12","U44","A131",11,"2","NH4","Placebo",0.691,"2020-08-12_A131"
0,"2020-08-12","U44","A132",11,"6","Ambient","Pathogen",0.68,"2020-08-12_A132"
0,"2020-08-12","U44","A133",11,"8","Ambient","Pathogen",0.681,"2020-08-12_A133"
0,"2020-08-12","U44","A134",11,"2","NH4","Placebo",0.683,"2020-08-12_A134"
0,"2020-08-12","U44","A141",11,"Holding","Extra","Extra",0.683,"2020-08-12_A141"
0,"2020-08-12","U44","A148",11,"Holding","Extra","Extra",0.638,"2020-08-12_A148"
0,"2020-08-12","Kelsey-1","A001",5,"1","NH4","Pathogen",0.627,"2020-08-12_A001"
0,"2020-08-12","Kelsey-1","A002",5,"4","NH4","Pathogen",0.651,"2020-08-12_A002"
0,"2020-08-12","Kelsey-1","A003",5,"6","Ambient","Pathogen",0.646,"2020-08-12_A003"
0,"2020-08-12","Kelsey-1","A004",5,"5","Ambient","Pathogen",0.578,"2020-08-12_A004"
0,"2020-08-12","Kelsey-1","A005",5,"7","Ambient","Pathogen",0.637,"2020-08-12_A005"
0,"2020-08-12","Kelsey-1","A007",5,"1","NH4","Placebo",0.631,"2020-08-12_A007"
0,"2020-08-12","Kelsey-1","A008",5,"4","NH4","Placebo",0.645,"2020-08-12_A008"
0,"2020-08-12","Kelsey-1","A009",5,"1","NH4","Placebo",0.654,"2020-08-12_A009"
0,"2020-08-12","Kelsey-1","A010",5,"2","NH4","Placebo",0.626,"2020-08-12_A010"
0,"2020-08-12","Kelsey-1","A012",5,"7","Ambient","Placebo",0.583,"2020-08-12_A012"
0,"2020-08-12","Kelsey-1","A013",5,"8","Ambient","Placebo",0.676,"2020-08-12_A013"
0,"2020-08-12","Kelsey-1","A014",5,"3","NH4","Placebo",0.648,"2020-08-12_A014"
0,"2020-08-12","Kelsey-1","A015",5,"5","Ambient","Placebo",0.656,"2020-08-12_A015"
0,"2020-08-12","Kelsey-1","A093",5,"8","Ambient","Pathogen",0.65,"2020-08-12_A093"
0,"2020-08-12","Kelsey-1","A094",5,"3","NH4","Pathogen",0.665,"2020-08-12_A094"
0,"2020-08-12","Kelsey-1","A095",5,"5","Ambient","Pathogen",0.659,"2020-08-12_A095"
0,"2020-08-12","Kelsey-1","A096",5,"6","Ambient","Placebo",0.663,"2020-08-12_A096"
